BOOK,SECTION OF THE BIBLE,Count (out of 425 excerpts)
Ecclesiasticus,Old Testament/Apocrypha,162
Proverbs,Old Testament,156
Psalms,Old Testament,16
Matthew,New Testament,12
Ecclesiastes,Old Testament,7
Luke,New Testament,6
James,New Testament,6
Leviticus,Old Testament,5
Deuteronomy,Old Testament,4
Tobit,Old Testament/Apocrypha,4
1 Corinthians,New Testament,4
Ephesians,New Testament,4
John,New Testament,4
Job,Old Testament,3
Wisdom of Solomon,Old Testament/Apocrypha,3
1 John,New Testament,3
Collosians,New Testament,3
Exodus,Old Testament,2
Isaiah,Old Testament,2
Zechariah,Old Testament,2
1 Timothy,New Testament,2
Revelation,New Testament,2
Romans,New Testament,2
1 Esdras,Old Testament/Apocrypha,1
Baruch,Old Testament/Apocrypha,1
Daniel,Old Testament,1
Micah,Old Testament,1
Zephaniah,Old Testament,1
1 Thessalonians,New Testament,1
2 Timothy,New Testament,1
Galatians,New Testament,1
Hebrews,New Testament,1
Mark,New Testament,1
 ,,424
 ,,